index,date,week,team,opp,crew,points,oYards,pYards,pCount,won,tDiff,penDiff,ptsDiff,ydsDiff,home,tie
654,11/26/2023,12,LAR,ARI,Shawn Smith,37,457,23,5,1,1,0,23,165,0,0
655,11/26/2023,12,PIT,CIN,Brad Rogers,16,421,55,5,1,0,0,6,199,0,0
656,11/26/2023,12,JAX,HOU,Clay Martin,24,445,35,6,1,1,-1,3,93,0,0
657,11/26/2023,12,BAL,LAC,Alan Eck,20,361,42,5,1,-4,0,10,82,0,0
658,11/26/2023,12,KC,LV,Land Clark,31,360,40,4,1,0,4,14,2,0,0
659,11/27/2022,12,LAC,ARI,Ron Torbert,25,311,30,4,1,-2,1,1,-55,0,0
660,11/27/2022,12,LV,SEA,Brad Allen,40,576,50,7,1,0,5,6,204,0,0
661,11/27/2022,12,CIN,TEN,Carl Cheffers,20,374,80,9,1,0,1,4,30,0,0
662,11/27/2023,12,CHI,MIN,Alex Kemp,12,317,76,7,1,-2,3,2,75,0,0
663,11/28/2022,12,PIT,IND,Bill Vinovich,24,323,19,3,1,-2,1,7,33,0,0
664,11/3/2022,9,PHI,HOU,Craig Wrolstad,29,360,31,4,1,-1,0,12,57,0,0
665,11/5/2023,9,MIN,ATL,Shawn Smith,31,363,4,1,1,0,-7,3,-7,0,0
666,11/5/2023,9,IND,CAR,Bill Vinovich,27,198,25,5,1,-2,-5,14,-77,0,0
667,11/5/2023,9,WAS,NE,Adrian Hill,20,432,30,4,1,1,0,3,105,0,0
668,11/6/2022,9,SEA,ARI,Carl Cheffers,31,421,34,6,1,0,-6,10,159,0,0
669,11/6/2022,9,LAC,ATL,John Hussey,20,336,45,5,1,0,3,3,21,0,0
670,11/6/2022,9,MIA,CHI,Ron Torbert,35,379,38,3,1,0,-1,3,11,0,0
671,11/6/2022,9,MIN,WAS,Jerome Boger,20,301,42,5,1,0,2,3,38,0,0
672,11/6/2023,9,LAC,NYJ,Craig Wrolstad,27,191,39,4,1,-3,-4,21,-79,0,0
673,11/7/2022,9,BAL,NO,Brad Rogers,27,319,31,5,1,-1,0,14,76,0,0
674,12/1/2022,13,BUF,NE,Shawn Hochuli,24,355,47,6,1,1,0,14,113,0,0
675,12/10/2023,14,TB,ATL,Alex Kemp,29,290,26,4,1,-1,2,4,-144,0,0
676,12/10/2023,14,BUF,KC,Carl Cheffers,20,327,35,4,1,-1,-3,3,-19,0,0
677,12/10/2023,14,DEN,LAC,Clete Blakeman,24,322,26,4,1,-1,2,17,39,0,0
678,12/10/2023,14,MIN,LV,Craig Wrolstad,3,231,36,5,1,-3,1,3,29,0,0
679,12/11/2022,14,KC,DEN,Craig Wrolstad,34,431,70,4,1,1,-2,6,111,0,0
680,12/11/2022,14,PHI,NYG,Clete Blakeman,48,437,9,2,1,-1,-3,26,133,0,0
681,12/11/2022,14,BAL,PIT,Adrian Hill,16,309,46,5,1,-3,3,2,-20,0,0
682,12/11/2022,14,CAR,SEA,Bill Vinovich,30,328,29,6,1,-2,3,6,41,0,0
683,12/11/2022,14,JAX,TEN,Clay Martin,36,428,70,9,1,-4,4,14,64,0,0
684,12/11/2023,14,TEN,MIA,Adrian Hill,28,403,59,9,1,2,2,1,37,0,0
685,12/12/2022,14,NE,ARI,Shawn Smith,27,328,80,8,1,-1,0,14,5,0,0
686,12/15/2022,15,SF,SEA,Alex Kemp,21,381,60,7,1,-1,-1,8,104,0,0
687,12/17/2023,15,SF,ARI,Scott Novak,45,406,5,1,1,-2,-3,16,-30,0,0
688,12/17/2023,15,TB,GB,Tra Blake,34,452,52,4,1,0,0,14,131,0,0
689,12/17/2023,15,BAL,JAX,Shawn Smith,23,396,54,6,1,-1,0,16,63,0,0
690,12/17/2023,15,KC,NE,Shawn Hochuli,27,326,15,2,1,1,-3,10,120,0,0
691,12/17/2023,15,HOU,TEN,Clete Blakeman,19,340,67,8,1,0,3,3,136,0,0
692,12/18/2022,15,PIT,CAR,Scott Novak,24,325,81,7,1,0,2,8,116,0,0
693,12/18/2022,15,PHI,CHI,Brad Rogers,25,421,25,2,1,2,-4,5,173,0,0
694,12/18/2022,15,KC,HOU,Carl Cheffers,30,502,102,10,1,1,6,6,283,0,0
695,12/18/2022,15,DET,NYJ,Craig Wrolstad,20,359,52,6,1,-1,4,3,22,0,0
696,12/18/2022,15,CIN,TB,Adrian Hill,34,237,27,4,1,-3,-3,11,-159,0,0
697,12/18/2022,15,NYG,WAS,John Hussey,20,288,30,5,1,-2,-1,8,-99,0,0
698,12/22/2022,16,JAX,NYJ,Brad Allen,19,365,25,3,1,-1,-6,16,138,0,0
699,12/23/2023,16,BUF,LAC,Adrian Hill,24,335,64,7,1,3,1,2,62,0,0
700,12/24/2022,16,BUF,CHI,Carl Cheffers,35,426,72,9,1,1,7,22,217,0,0
701,12/24/2022,16,NO,CLE,Brad Rogers,17,244,15,2,1,0,-2,7,-5,0,0
702,12/24/2022,16,CIN,NE,Craig Wrolstad,22,442,62,8,1,2,-2,4,157,0,0
703,12/24/2022,16,HOU,TEN,Shawn Smith,19,285,35,4,1,-2,-1,5,13,0,0
704,12/24/2023,16,GB,CAR,Alex Kemp,33,369,67,6,1,0,-2,3,-25,0,0
705,12/24/2023,16,NE,DEN,Carl Cheffers,26,289,25,3,1,-1,1,3,13,0,0
706,12/24/2023,16,CLE,HOU,Tra Blake,36,418,55,9,1,0,-1,14,168,0,0
707,12/24/2023,16,DET,MIN,Land Clark,30,389,52,9,1,-3,1,6,-1,0,0
708,12/24/2023,16,SEA,TEN,Shawn Smith,20,273,47,6,1,0,-4,3,-14,0,0
709,12/25/2022,16,TB,ARI,John Hussey,19,396,30,5,1,-1,-1,3,71,0,0
710,12/25/2022,16,GB,MIA,Land Clark,26,301,40,5,1,-3,-3,6,-75,0,0
711,12/25/2023,16,LV,KC,Clete Blakeman,20,205,20,4,1,-2,-1,6,-103,0,0
712,12/25/2023,16,BAL,SF,Bill Vinovich,33,343,67,6,1,-5,-4,14,-86,0,0
713,12/26/2022,16,LAC,IND,Clay Martin,20,314,60,6,1,-1,4,17,141,0,0
714,12/29/2022,17,DAL,TEN,Shawn Hochuli,27,361,35,3,1,1,-7,14,44,0,0
715,12/3/2023,13,LAC,NE,Bill Vinovich,6,241,20,4,1,-1,1,6,-16,0,0
716,12/3/2023,13,DET,NO,Clay Martin,33,347,45,6,1,-2,0,5,-15,0,0
717,12/3/2023,13,ATL,NYJ,Ron Torbert,13,194,55,6,1,-3,-5,5,-65,0,0
718,12/3/2023,13,SF,PHI,Alex Kemp,42,456,47,5,1,0,-2,23,123,0,0
719,12/3/2023,13,ARI,PIT,Land Clark,24,282,51,6,1,-1,-3,14,-35,0,0
720,12/3/2023,13,IND,TEN,Craig Wrolstad,31,355,29,4,1,0,-5,3,-26,0,0
721,12/3/2023,13,MIA,WAS,Tra Blake,45,406,15,2,1,-1,-1,30,161,0,0
722,12/31/2023,17,GB,MIN,Clay Martin,33,470,32,4,1,-1,-2,23,259,0,0
723,12/31/2023,17,LAR,NYG,Tra Blake,26,391,28,3,1,2,-4,1,2,0,0
724,12/31/2023,17,ARI,PHI,Bill Vinovich,35,449,25,5,1,0,1,4,174,0,0
725,12/31/2023,17,PIT,SEA,Shawn Hochuli,30,468,10,2,1,-1,-2,7,99,0,0
726,12/31/2023,17,NO,TB,Land Clark,23,310,31,5,1,-4,0,10,-39,0,0
727,12/31/2023,17,SF,WAS,Ron Torbert,27,408,20,3,1,-2,-2,17,183,0,0
728,12/4/2022,13,PIT,ATL,Ron Torbert,19,351,30,7,1,-1,1,3,45,0,0
729,12/4/2022,13,GB,CHI,Scott Novak,28,357,20,2,1,-3,-3,9,-52,0,0
730,12/4/2022,13,CLE,HOU,Land Clark,27,304,56,6,1,-2,1,13,21,0,0
731,12/4/2022,13,SEA,LAR,Shawn Smith,27,438,42,6,1,0,2,4,119,0,0
733,12/4/2023,13,CIN,JAX,Scott Novak,34,491,35,6,1,1,-1,3,115,0,0
734,12/7/2023,14,NE,PIT,Clay Martin,21,303,59,7,1,0,6,3,39,0,0
735,9/10/2023,1,GB,CHI,Craig Wrolstad,38,329,90,9,1,-2,2,18,18,0,0
736,9/10/2023,1,LV,DEN,Bill Vinovich,17,261,97,10,1,1,0,1,1,0,0
737,9/10/2023,1,JAX,IND,Clay Martin,31,342,45,4,1,-1,0,10,62,0,0
738,9/10/2023,1,MIA,LAC,Brad Allen,36,536,38,6,1,2,0,2,103,0,0
739,9/10/2023,1,TB,MIN,Scott Novak,20,242,19,3,1,-3,-3,3,-127,0,0
740,9/10/2023,1,PHI,NE,Shawn Hochuli,25,251,49,5,1,-1,-2,5,-131,0,0
741,9/10/2023,1,DAL,NYG,Adrian Hill,40,265,35,5,1,-3,-1,40,94,0,0
742,9/10/2023,1,SF,PIT,Alex Kemp,30,391,85,11,1,-1,5,23,152,0,0
743,9/10/2023,1,LAR,SEA,Shawn Smith,30,426,53,7,1,0,0,17,246,0,0
744,9/11/2022,1,KC,ARI,Scott Novak,44,488,25,3,1,1,-2,23,206,0,0
745,9/11/2022,1,NO,ATL,Alex Kemp,27,385,99,8,1,-1,0,1,-31,0,0
746,9/11/2022,1,CLE,CAR,Brad Rogers,26,355,71,9,1,-1,1,2,94,0,0
747,9/11/2022,1,PIT,CIN,Shawn Hochuli,23,267,59,8,1,-5,4,3,-165,0,0
748,9/11/2022,1,TB,DAL,Ron Torbert,19,347,25,5,1,0,-5,16,103,0,0
749,9/11/2022,1,PHI,DET,Brad Allen,38,455,61,10,1,-1,3,3,69,0,0
750,9/11/2022,1,BAL,NYJ,Craig Wrolstad,24,274,29,5,1,-1,-1,15,-106,0,0
751,9/11/2022,1,NYG,TEN,Jerome Boger,21,394,45,8,1,1,1,1,35,0,0
752,9/17/2023,2,NYG,ARI,Land Clark,31,439,75,9,1,1,1,3,60,0,0
753,9/17/2023,2,BAL,CIN,Shawn Hochuli,27,415,56,6,1,-1,1,3,133,0,0
754,9/17/2023,2,WAS,DEN,Brad Rogers,35,388,71,8,1,-2,-1,2,-11,0,0
755,9/17/2023,2,SEA,DET,Alex Kemp,37,393,80,9,1,-3,5,6,-25,0,0
756,9/17/2023,2,IND,HOU,Carl Cheffers,31,353,42,8,1,-1,5,11,-36,0,0
757,9/17/2023,2,KC,JAX,Adrian Hill,17,399,94,12,1,2,10,8,128,0,0
758,9/17/2023,2,SF,LAR,Brad Allen,30,365,57,6,1,-2,0,7,-21,0,0
759,9/17/2023,2,MIA,NE,Shawn Smith,24,389,46,6,1,-1,1,7,101,0,0
760,9/18/2022,2,MIA,BAL,Adrian Hill,42,547,51,8,1,2,7,4,74,0,0
761,9/18/2022,2,NYJ,CLE,Tra Blake,31,402,57,8,1,0,3,1,-3,0,0
762,9/18/2022,2,ARI,LV,Clete Blakeman,29,413,120,12,1,0,2,6,89,0,0
763,9/18/2022,2,TB,NO,Shawn Hochuli,20,260,101,8,1,-4,-1,10,-48,0,0
764,9/18/2022,2,NE,PIT,Land Clark,17,376,55,7,1,-1,4,3,133,0,0
765,9/18/2023,2,NO,CAR,Scott Novak,20,341,32,3,1,0,-3,3,102,0,0
766,9/24/2023,3,IND,BAL,Clete Blakeman,22,327,31,6,1,-2,5,3,-37,0,0
767,9/24/2023,3,HOU,JAX,Scott Novak,37,366,75,8,1,-2,2,20,-38,0,0
768,9/24/2023,3,PIT,LV,Tra Blake,23,333,45,6,1,-3,-1,5,-29,0,0
769,9/24/2023,3,LAC,MIN,Shawn Smith,28,475,94,12,1,-1,6,4,0,0,0
770,9/24/2023,3,NE,NYJ,Bill Vinovich,15,358,43,6,1,0,3,5,187,0,0
771,9/24/2023,3,BUF,WAS,Land Clark,37,386,45,6,1,-4,4,34,156,0,0
772,9/25/2022,3,LAR,ARI,Adrian Hill,20,339,35,6,1,1,0,8,-26,0,0
773,9/25/2022,3,JAX,LAC,Craig Wrolstad,38,413,10,2,1,-2,-5,28,101,0,0
774,9/25/2022,3,BAL,NE,Bill Vinovich,37,394,10,2,1,-2,-1,11,-53,0,0
775,9/25/2022,3,CIN,NYJ,Jerome Boger,27,330,30,5,1,-3,1,15,2,0,0
776,9/25/2022,3,ATL,SEA,Tra Blake,27,386,15,2,1,1,-4,4,-34,0,0
777,9/25/2022,3,GB,TB,Scott Novak,14,315,65,8,1,0,2,2,30,0,0
778,9/25/2022,3,PHI,WAS,Ron Torbert,24,400,52,5,1,-1,1,16,160,0,0
779,9/25/2023,3,PHI,TB,Adrian Hill,25,472,20,3,1,0,-1,14,298,0,0
780,9/26/2022,3,DAL,NYG,Land Clark,23,391,70,8,1,-1,0,7,55,0,0
781,9/28/2023,4,DET,GB,Alan Eck,34,401,70,8,1,-1,4,14,171,0,0
782,9/7/2023,1,DET,KC,John Hussey,21,368,63,4,1,0,1,1,52,0,0
783,9/8/2022,1,BUF,LAR,Carl Cheffers,31,413,35,5,1,1,1,21,170,0,0
784,1/1/2023,17,ARI,ATL,Alex Kemp,19,339,50,8,0,-1,3,-1,41,0,0
785,1/1/2023,17,CHI,DET,Adrian Hill,10,230,49,3,0,2,-3,-31,-274,0,0
786,1/1/2023,17,MIN,GB,Carl Cheffers,17,346,35,6,0,4,3,-24,31,0,0
787,1/1/2023,17,DEN,KC,Tra Blake,24,307,23,3,0,0,-2,-3,-67,0,0
788,1/1/2023,17,LAR,LAC,Clete Blakeman,10,277,22,3,0,1,1,-21,-154,0,0
789,1/1/2023,17,MIA,NE,Brad Allen,21,333,71,9,0,2,3,-2,84,0,0
790,1/1/2023,17,IND,NYG,Craig Wrolstad,10,252,60,7,0,0,4,-28,-142,0,0
791,1/1/2023,17,NYJ,SEA,Ron Torbert,6,279,10,2,0,3,-3,-17,-67,0,0
792,1/1/2023,17,CAR,TB,Brad Rogers,24,400,58,8,0,2,0,-6,-78,0,0
793,1/7/2023,18,TEN,JAX,Bill Vinovich,16,312,40,6,0,1,2,-4,90,0,0
794,1/7/2024,18,CLE,CIN,Alan Eck,14,244,35,7,0,1,6,-17,-84,0,0
795,1/7/2024,18,MIN,DET,Brad Rogers,20,448,77,8,0,2,4,-10,67,0,0
796,1/7/2024,18,CHI,GB,Carl Cheffers,9,192,10,1,0,-1,0,-8,-240,0,0
797,1/7/2024,18,DEN,LV,Shawn Hochuli,14,286,35,4,0,1,4,-13,-73,0,0
798,1/7/2024,18,ATL,NO,John Hussey,17,389,75,8,0,3,5,-31,-11,0,0
799,1/7/2024,18,PHI,NYG,Craig Wrolstad,10,299,10,2,0,3,-1,-17,-116,0,0
800,1/7/2024,18,JAX,TEN,Tra Blake,20,362,40,6,0,1,1,-8,35,0,0
801,1/8/2023,18,TB,ATL,Land Clark,17,222,30,3,0,0,1,-13,-160,0,0
802,1/8/2023,18,NE,BUF,Clay Martin,23,341,20,2,0,0,0,-12,14,0,0
803,1/8/2023,18,BAL,CIN,Ron Torbert,16,386,22,5,0,3,2,-11,129,0,0
804,1/8/2023,18,LAC,DEN,Shawn Hochuli,28,352,34,5,0,0,2,-3,-119,0,0
805,1/8/2023,18,NYJ,MIA,John Hussey,6,187,54,6,0,0,1,-5,-115,0,0
806,1/8/2023,18,NYG,PHI,Carl Cheffers,16,284,66,8,0,-1,4,-6,-58,0,0
807,1/8/2023,18,CLE,PIT,Clete Blakeman,14,307,65,9,0,1,5,-14,-26,0,0
808,1/8/2023,18,LAR,SEA,Craig Wrolstad,16,269,35,3,0,-1,-1,-3,-133,0,0
809,1/8/2023,18,ARI,SF,Adrian Hill,13,255,50,7,0,4,5,-25,-56,0,0
810,1/8/2023,18,DAL,WAS,Tra Blake,6,182,74,6,0,1,4,-20,-127,0,0
811,10/1/2023,4,MIA,BUF,Adrian Hill,20,393,98,8,0,2,4,-28,-21,0,0
812,10/1/2023,4,NE,DAL,Scott Novak,3,253,50,6,0,3,1,-35,-124,0,0
813,10/1/2023,4,PIT,HOU,Bill Vinovich,6,225,18,2,0,1,-6,-24,-226,0,0
814,10/1/2023,4,ATL,JAX,Craig Wrolstad,7,287,50,3,0,3,0,-16,-13,0,0
815,10/1/2023,4,LV,LAC,John Hussey,17,264,80,9,0,2,5,-7,-41,0,0
816,10/1/2023,4,WAS,PHI,Ron Torbert,31,365,41,7,0,0,-4,-3,-50,0,0
817,10/1/2023,4,ARI,SF,Clete Blakeman,16,362,55,9,0,0,5,-19,-33,0,0
818,10/1/2023,4,CIN,TEN,Shawn Smith,3,211,40,5,0,0,0,-24,-189,0,0
819,10/10/2022,5,LV,KC,Carl Cheffers,29,378,99,11,0,0,6,-1,10,0,0
820,10/12/2023,6,DEN,KC,Shawn Hochuli,8,197,34,3,0,2,-4,-11,-192,0,0
821,10/15/2023,6,NYG,BUF,Tra Blake,9,317,65,9,0,-2,2,-5,20,0,0
822,10/15/2023,6,SEA,CIN,Adrian Hill,13,384,64,7,0,1,2,-4,170,0,0
823,10/15/2023,6,SF,CLE,John Hussey,17,215,105,12,0,-1,-1,-2,-119,0,0
824,10/15/2023,6,NO,HOU,Alan Eck,13,430,83,7,0,1,4,-7,133,0,0
825,10/15/2023,6,IND,JAX,Alex Kemp,20,354,46,6,0,3,1,-17,121,0,0
826,10/15/2023,6,ARI,LAR,Ron Torbert,9,345,36,5,0,1,-1,-17,-37,0,0
827,10/15/2023,6,NE,LV,Brad Rogers,17,259,79,10,0,0,4,-4,-89,0,0
828,10/15/2023,6,CAR,MIA,Craig Wrolstad,21,296,11,3,0,-1,0,-21,-128,0,0
829,10/15/2023,6,PHI,NYJ,Scott Novak,14,348,46,5,0,4,-4,-6,104,0,0
830,10/16/2022,6,SF,ATL,Carl Cheffers,14,346,30,5,0,3,0,-14,57,0,0
831,10/16/2022,6,JAX,IND,Jerome Boger,27,379,44,4,0,1,-3,-7,-55,0,0
832,10/16/2022,6,CAR,LAR,Tra Blake,10,203,30,3,0,0,-4,-14,-157,0,0
833,10/16/2022,6,BAL,NYG,Clay Martin,20,406,74,10,0,1,7,-4,168,0,0
834,10/16/2022,6,DAL,PHI,John Hussey,17,315,72,10,0,3,8,-9,47,0,0
835,10/16/2022,6,TB,PIT,Shawn Smith,18,304,42,6,0,0,-1,-2,34,0,0
836,10/16/2022,6,ARI,SEA,Shawn Hochuli,9,315,53,6,0,1,0,-10,19,0,0
837,10/17/2022,6,DEN,LAC,Ron Torbert,16,258,151,10,0,0,1,-3,-39,0,0
838,10/2/2022,4,CLE,ATL,Craig Wrolstad,20,403,51,7,0,1,6,-3,70,0,0
839,10/2/2022,4,WAS,DAL,Shawn Smith,10,297,136,11,0,2,7,-15,18,0,0
840,10/2/2022,4,NE,GB,Adrian Hill,24,271,75,7,0,-1,3,-3,-172,0,0
841,10/2/2022,4,DEN,LV,Land Clark,23,299,50,7,0,1,3,-9,-86,0,0
842,10/2/2022,4,CHI,NYG,Carl Cheffers,12,304,65,5,0,1,-2,-8,-29,0,0
843,10/2/2022,4,JAX,PHI,Shawn Hochuli,21,219,38,4,0,4,1,-8,-182,0,0
844,10/20/2022,7,NO,ARI,Jerome Boger,34,494,49,8,0,3,4,-8,168,0,0
845,10/22/2023,7,DET,BAL,Brad Rogers,6,337,57,5,0,0,1,-32,-166,0,0
846,10/22/2023,7,LV,CHI,Clay Martin,12,235,15,2,0,3,-7,-18,-88,0,0
847,10/22/2023,7,GB,DEN,Alex Kemp,17,331,56,7,0,1,-1,-2,-8,0,0
848,10/22/2023,7,LAC,KC,Tra Blake,17,358,43,4,0,0,-2,-14,-125,0,0
849,10/22/2023,7,BUF,NE,Clete Blakeman,25,339,46,9,0,1,1,-4,-25,0,0
850,10/22/2023,7,WAS,NYG,John Hussey,7,273,75,10,0,-1,6,-7,-83,0,0
851,10/22/2023,7,MIA,PHI,Brad Allen,17,244,70,10,0,-1,10,-14,-111,0,0
852,10/22/2023,7,ARI,SEA,Scott Novak,10,249,60,7,0,-3,2,-10,-69,0,0
853,10/23/2022,7,CLE,BAL,Shawn Smith,20,336,45,6,0,1,3,-3,82,0,0
854,10/23/2022,7,TB,CAR,Craig Wrolstad,3,322,30,4,0,0,1,-18,-21,0,0
855,10/23/2022,7,ATL,CIN,Clete Blakeman,17,214,22,3,0,0,-2,-18,-323,0,0
856,10/23/2022,7,DET,DAL,Adrian Hill,6,312,59,8,0,4,1,-18,-18,0,0
857,10/23/2022,7,HOU,LV,John Hussey,20,404,14,3,0,1,-2,-18,4,0,0
858,10/23/2022,7,PIT,MIA,Scott Novak,10,341,40,5,0,3,0,-6,-31,0,0
859,10/23/2022,7,IND,TEN,Ron Torbert,10,292,28,4,0,2,2,-9,38,0,0
860,10/23/2022,7,GB,WAS,Clay Martin,21,232,69,9,0,0,2,-2,-132,0,0
861,10/23/2023,7,SF,MIN,Carl Cheffers,17,325,37,5,0,2,0,-5,-127,0,0
862,10/26/2023,8,TB,BUF,Scott Novak,18,302,74,11,0,-1,2,-6,-125,0,0
863,10/29/2023,8,HOU,CAR,John Hussey,13,229,70,10,0,1,7,-2,5,0,0
864,10/29/2023,8,LAR,DAL,Adrian Hill,20,280,25,4,0,0,0,-23,-107,0,0
865,10/29/2023,8,KC,DEN,Brad Allen,9,274,38,5,0,4,-1,-15,34,0,0
866,10/29/2023,8,CHI,LAC,Brad Rogers,13,295,53,7,0,1,5,-17,-57,0,0
867,10/29/2023,8,NE,MIA,Land Clark,17,218,45,7,0,-1,4,-14,-172,0,0
868,10/29/2023,8,CLE,SEA,Bill Vinovich,20,385,25,4,0,1,-3,-4,23,0,0
869,10/29/2023,8,ATL,TEN,Clay Martin,23,342,15,3,0,0,-3,-5,-33,0,0
870,10/3/2022,4,LAR,SF,Brad Allen,9,257,5,1,0,2,-3,-15,-70,0,0
871,10/30/2022,8,CAR,ATL,Shawn Hochuli,34,478,74,9,0,-1,2,-3,72,0,0
