index,date,week,team,opp,crew,points,oYards,pYards,pCount,won,tDiff,penDiff,ptsDiff,ydsDiff,home,tie
872,10/30/2022,8,GB,BUF,Ron Torbert,17,398,58,8,0,-1,4,-10,29,0,0
873,10/30/2022,8,CHI,DAL,Brad Rogers,29,371,45,6,0,0,0,-20,-71,0,0
874,10/30/2022,8,ARI,MIN,Brad Allen,26,375,67,10,0,2,0,-8,-6,0,0
875,10/30/2022,8,LV,NO,Scott Novak,0,183,59,6,0,1,1,-24,-184,0,0
876,10/30/2022,8,PIT,PHI,Clete Blakeman,13,302,60,9,0,2,1,-22,-99,0,0
877,10/30/2022,8,NYG,SEA,Jerome Boger,13,225,53,6,0,1,3,-14,-52,0,0
878,10/30/2023,8,LV,DET,Clete Blakeman,14,157,40,4,0,-2,-1,-12,-329,0,0
879,10/31/2022,8,CIN,CLE,Bill Vinovich,13,229,6,2,0,0,-4,-19,-211,0,0
880,10/8/2023,5,HOU,ATL,Shawn Hochuli,19,313,25,5,0,-2,-2,-2,-134,0,0
881,10/8/2023,5,CAR,DET,Adrian Hill,24,342,45,7,0,3,2,-18,-35,0,0
882,10/8/2023,5,TEN,IND,Brad Rogers,16,348,58,4,0,1,-4,-7,-81,0,0
883,10/8/2023,5,NYG,MIA,Ron Torbert,16,268,43,6,0,-3,0,-15,-256,0,0
884,10/8/2023,5,BAL,PIT,Carl Cheffers,10,335,20,2,0,2,-1,-7,46,0,0
885,10/8/2023,5,DAL,SF,Alan Eck,10,197,60,6,0,3,0,-32,-224,0,0
886,10/9/2022,5,CIN,BAL,Scott Novak,17,291,20,4,0,0,-2,-2,-34,0,0
887,10/9/2022,5,PIT,BUF,John Hussey,3,364,54,6,0,0,1,-35,-188,0,0
888,10/9/2022,5,CHI,MIN,Shawn Hochuli,22,271,40,6,0,0,-1,-7,-158,0,0
889,10/9/2022,5,DET,NE,Craig Wrolstad,0,312,82,7,0,1,1,-29,-52,0,0
890,10/9/2022,5,SEA,NO,Brad Allen,32,396,85,12,0,-1,6,-7,-42,0,0
891,10/9/2022,5,MIA,NYJ,Clay Martin,17,295,102,11,0,2,6,-23,-27,0,0
892,10/9/2022,5,ATL,TB,Jerome Boger,15,261,55,6,0,0,0,-6,-159,0,0
893,10/9/2023,5,GB,LV,Brad Allen,13,285,18,3,0,2,-1,-4,6,0,0
894,11/10/2022,10,ATL,CAR,Adrian Hill,15,291,37,4,0,1,-6,-10,-42,0,0
895,11/12/2023,10,ATL,ARI,Craig Wrolstad,23,254,43,4,0,-1,-7,-2,-98,0,0
896,11/12/2023,10,NYG,DAL,Brad Rogers,17,172,5,2,0,-1,-7,-32,-468,0,0
897,11/12/2023,10,NYJ,LV,Shawn Hochuli,12,365,83,8,0,-1,5,-4,91,0,0
898,11/12/2023,10,NO,MIN,Adrian Hill,19,280,74,9,0,2,4,-8,-108,0,0
899,11/12/2023,10,GB,PIT,Scott Novak,19,399,32,5,0,2,2,-4,75,0,0
900,11/12/2023,10,WAS,SEA,Alex Kemp,26,356,39,6,0,1,-2,-3,-133,0,0
901,11/12/2023,10,TEN,TB,Alan Eck,6,209,35,5,0,0,-2,-14,-131,0,0
902,11/13/2022,10,DAL,GB,Brad Allen,28,421,83,9,0,0,3,-3,6,0,0
903,11/13/2022,10,JAX,KC,Brad Rogers,17,315,30,5,0,-3,5,-10,-171,0,0
904,11/13/2022,10,CLE,MIA,Shawn Hochuli,17,297,52,6,0,1,1,-22,-194,0,0
905,11/13/2022,10,HOU,NYG,Bill Vinovich,16,387,40,7,0,2,2,-8,20,0,0
906,11/13/2022,10,NO,PIT,Carl Cheffers,10,186,74,10,0,2,7,-10,-193,0,0
907,11/13/2022,10,LAC,SF,Shawn Smith,16,238,5,1,0,0,-4,-6,-149,0,0
908,11/13/2022,10,SEA,TB,John Hussey,16,283,46,6,0,-1,2,-5,-136,0,0
909,11/13/2022,10,DEN,TEN,Scott Novak,10,313,50,8,0,0,-1,-7,6,0,0
910,11/16/2023,11,CIN,BAL,Adrian Hill,20,272,78,9,0,0,0,-14,-133,0,0
911,11/19/2023,11,NYJ,BUF,Alan Eck,6,155,35,5,0,3,-3,-26,-238,0,0
912,11/19/2023,11,PIT,CLE,Shawn Hochuli,10,249,46,6,0,-1,5,-3,-10,0,0
913,11/19/2023,11,MIN,DEN,Ron Torbert,20,385,55,6,0,3,2,-1,90,0,0
914,11/19/2023,11,CHI,DET,Scott Novak,26,334,69,6,0,-3,1,-5,-4,0,0
915,11/19/2023,11,LAC,GB,John Hussey,20,394,54,4,0,1,-3,-3,-3,0,0
916,11/19/2023,11,ARI,HOU,Alex Kemp,16,319,50,5,0,-1,2,-5,-100,0,0
917,11/19/2023,11,TEN,JAX,Brad Rogers,14,235,66,7,0,2,3,-20,-154,0,0
918,11/19/2023,11,SEA,LAR,Carl Cheffers,16,291,130,12,0,0,3,-1,24,0,0
919,11/19/2023,11,LV,MIA,Bill Vinovich,13,296,41,5,0,0,0,-7,-126,0,0
920,11/19/2023,11,TB,SF,Craig Wrolstad,14,287,19,3,0,2,-4,-13,-133,0,0
921,11/2/2023,9,TEN,PIT,John Hussey,16,340,51,7,0,1,-3,-4,14,0,0
922,11/20/2022,11,CHI,ATL,Tra Blake,24,288,56,7,0,-1,5,-3,8,0,0
923,11/20/2022,11,CAR,BAL,Jerome Boger,3,205,66,9,0,2,-1,-10,-103,0,0
924,11/20/2022,11,CLE,BUF,Adrian Hill,23,396,42,6,0,1,-2,-8,39,0,0
925,11/20/2022,11,NYJ,NE,Carl Cheffers,3,103,15,3,0,0,-5,-7,-194,0,0
926,11/20/2022,11,LAR,NO,Ron Torbert,20,336,55,6,0,0,4,-7,13,0,0
927,11/23/2023,12,WAS,DAL,Bill Vinovich,10,376,25,4,0,1,-3,-35,-55,0,0
928,11/24/2022,12,NYG,DAL,Scott Novak,20,300,66,7,0,-2,-6,-8,-130,0,0
929,11/24/2022,12,NE,MIN,Alex Kemp,26,409,55,6,0,-1,3,-7,51,0,0
930,11/26/2023,12,NO,ATL,Brad Allen,15,444,50,6,0,0,1,-9,48,0,0
931,11/26/2023,12,CLE,DEN,Adrian Hill,12,269,66,8,0,2,0,-17,-25,0,0
932,11/26/2023,12,TB,IND,Clete Blakeman,20,298,24,4,0,1,-1,-7,-96,0,0
933,11/26/2023,12,NE,NYG,Scott Novak,7,283,13,2,0,2,-2,-3,63,0,0
934,11/26/2023,12,BUF,PHI,Shawn Hochuli,34,505,80,11,0,-1,7,-3,127,0,0
935,11/26/2023,12,CAR,TEN,Ron Torbert,10,258,35,4,0,1,-4,-7,-6,0,0
936,11/27/2022,12,DEN,CAR,Clay Martin,10,246,44,4,0,1,0,-13,-103,0,0
937,11/27/2022,12,TB,CLE,Tra Blake,17,325,70,9,0,-1,4,-6,-42,0,0
938,11/27/2022,12,BAL,JAX,Land Clark,27,415,20,3,0,1,-1,-1,83,0,0
939,11/27/2022,12,LAR,KC,Adrian Hill,10,198,25,5,0,0,2,-16,-239,0,0
940,11/27/2022,12,HOU,MIA,Jerome Boger,15,210,45,5,0,2,1,-15,-129,0,0
941,11/27/2022,12,CHI,NYJ,John Hussey,10,292,10,1,0,1,0,-21,-174,0,0
942,11/27/2022,12,GB,PHI,Shawn Smith,33,342,35,4,0,1,1,-7,-158,0,0
943,11/27/2022,12,NO,SF,Shawn Hochuli,0,260,46,6,0,2,-1,-13,-57,0,0
944,11/27/2022,12,ATL,WAS,Brad Rogers,13,332,20,2,0,0,-2,-6,18,0,0
945,11/30/2023,13,SEA,DAL,Clete Blakeman,35,406,130,10,0,1,1,-6,-5,0,0
946,11/5/2023,9,SEA,BAL,Shawn Hochuli,3,151,29,5,0,0,2,-34,-364,0,0
947,11/5/2023,9,BUF,CIN,Alex Kemp,18,317,49,5,0,2,-1,-6,-80,0,0
948,11/5/2023,9,ARI,CLE,Carl Cheffers,0,58,40,4,0,3,-2,-27,-268,0,0
949,11/5/2023,9,LAR,GB,Clete Blakeman,3,187,36,5,0,0,-3,-17,-204,0,0
950,11/5/2023,9,TB,HOU,Land Clark,37,332,90,9,0,0,0,-2,-164,0,0
951,11/5/2023,9,MIA,KC,Clay Martin,14,292,45,6,0,0,-3,-7,25,0,0
952,11/5/2023,9,NYG,LV,Alan Eck,6,277,8,3,0,2,-1,-24,-57,0,0
953,11/5/2023,9,CHI,NO,Ron Torbert,17,368,71,8,0,5,7,-7,67,0,0
954,11/5/2023,9,DAL,PHI,Tra Blake,23,406,83,10,0,1,0,-5,114,0,0
955,11/6/2022,9,CAR,CIN,Alex Kemp,21,228,50,7,0,3,2,-21,-236,0,0
956,11/6/2022,9,GB,DET,Tra Blake,9,389,81,8,0,2,1,-6,135,0,0
957,11/6/2022,9,LV,JAX,Bill Vinovich,20,321,45,5,0,0,1,-7,-82,0,0
958,11/6/2022,9,TEN,KC,Clete Blakeman,17,229,51,8,0,-1,-2,-3,-270,0,0
959,11/6/2022,9,IND,NE,Clay Martin,3,121,15,2,0,0,-2,-23,-82,0,0
960,11/6/2022,9,BUF,NYJ,Land Clark,17,317,30,3,0,1,0,-3,7,0,0
961,11/6/2022,9,LAR,TB,Shawn Hochuli,13,206,53,4,0,0,-3,-3,-117,0,0
962,11/9/2023,10,CAR,CHI,Clete Blakeman,13,213,45,5,0,0,-2,-3,-82,0,0
963,12/10/2023,14,LAR,BAL,Scott Novak,31,410,34,5,0,-1,-2,-6,-39,0,0
964,12/10/2023,14,DET,CHI,Tra Blake,13,267,59,8,0,3,4,-15,-69,0,0
965,12/10/2023,14,IND,CIN,Shawn Hochuli,14,272,66,9,0,1,4,-20,-113,0,0
966,12/10/2023,14,JAX,CLE,Ron Torbert,27,293,40,7,0,1,-1,-4,-96,0,0
967,12/10/2023,14,PHI,DAL,John Hussey,13,324,95,10,0,2,3,-20,-70,0,0
968,12/10/2023,14,CAR,NO,Alan Eck,6,303,27,4,0,1,1,-22,96,0,0
969,12/10/2023,14,HOU,NYJ,Brad Allen,6,135,35,4,0,-1,-4,-24,-212,0,0
970,12/10/2023,14,SEA,SF,Brad Rogers,16,324,39,5,0,0,0,-12,-203,0,0
971,12/11/2022,14,NYJ,BUF,Alex Kemp,12,309,61,7,0,2,2,-8,77,0,0
972,12/11/2022,14,CLE,CIN,Jerome Boger,10,344,98,9,0,0,5,-13,-19,0,0
973,12/11/2022,14,HOU,DAL,John Hussey,23,327,25,4,0,-1,1,-4,-77,0,0
974,12/11/2022,14,MIN,DET,Ron Torbert,23,416,25,3,0,2,-4,-11,-48,0,0
975,12/11/2022,14,MIA,LAC,Scott Novak,17,219,50,6,0,0,0,-6,-213,0,0
976,12/11/2022,14,TB,SF,Brad Allen,7,322,62,8,0,2,6,-28,-82,0,0
977,12/11/2023,14,GB,NYG,Land Clark,22,326,39,4,0,1,-1,-2,-41,0,0
978,12/14/2023,15,LAC,LV,Ron Torbert,21,326,65,6,0,5,2,-42,-52,0,0
979,12/16/2023,15,MIN,CIN,Bill Vinovich,24,424,22,4,0,1,1,-3,46,0,0
980,12/16/2023,15,DEN,DET,John Hussey,17,287,40,4,0,1,2,-25,-161,0,0
981,12/16/2023,15,PIT,IND,Adrian Hill,13,216,101,8,0,3,6,-17,-156,0,0
982,12/17/2022,15,MIA,BUF,Bill Vinovich,29,405,51,8,0,-1,1,-3,-41,0,0
983,12/17/2022,15,BAL,CLE,Brad Allen,3,324,25,3,0,2,0,-10,41,0,0
984,12/17/2022,15,IND,MIN,Tra Blake,36,341,103,11,0,-2,2,-3,-177,0,0
985,12/17/2023,15,DAL,BUF,Craig Wrolstad,10,195,48,5,0,1,4,-21,-156,0,0
986,12/17/2023,15,ATL,CAR,Land Clark,7,204,25,4,0,2,0,-2,-79,0,0
987,12/17/2023,15,CHI,CLE,Brad Allen,17,236,19,4,0,0,-5,-3,-141,0,0
988,12/17/2023,15,WAS,LAR,Alan Eck,20,297,28,3,0,-1,-2,-8,-148,0,0
989,12/17/2023,15,NYJ,MIA,Brad Rogers,0,103,55,7,0,4,-2,-30,-187,0,0
990,12/17/2023,15,NYG,NO,Carl Cheffers,6,193,32,5,0,0,-1,-18,-103,0,0
991,12/18/2022,15,ARI,DEN,Jerome Boger,15,240,46,7,0,1,3,-9,-84,0,0
992,12/18/2022,15,DAL,JAX,Shawn Smith,34,397,18,2,0,-1,-2,-6,-106,0,0
993,12/18/2022,15,TEN,LAC,Land Clark,14,284,62,6,0,-1,3,-3,-81,0,0
994,12/18/2022,15,NE,LV,Ron Torbert,24,318,30,6,0,0,-7,-6,10,0,0
995,12/18/2022,15,ATL,NO,Clete Blakeman,18,320,30,3,0,0,-3,-3,-28,0,0
996,12/18/2023,15,PHI,SEA,Clay Martin,17,321,40,5,0,2,0,-3,24,0,0
997,12/19/2022,15,LAR,GB,Shawn Hochuli,12,156,76,8,0,-1,4,-12,-189,0,0
998,12/21/2023,16,NO,LAR,Brad Rogers,22,339,20,3,0,1,0,-8,-119,0,0
999,12/23/2023,16,CIN,PIT,Craig Wrolstad,11,368,20,3,0,3,1,-23,-29,0,0
1000,12/24/2022,16,ATL,BAL,Bill Vinovich,9,327,48,5,0,1,4,-8,28,0,0
1001,12/24/2022,16,DET,CAR,Shawn Hochuli,23,381,30,4,0,1,-6,-14,-189,0,0
1002,12/24/2022,16,PHI,DAL,Alex Kemp,34,442,10,2,0,3,-2,-6,23,0,0
1003,12/24/2022,16,SEA,KC,Clete Blakeman,10,333,35,6,0,1,1,-14,36,0,0
1004,12/24/2022,16,NYG,MIN,Adrian Hill,24,445,63,7,0,2,5,-3,92,0,0
1005,12/24/2022,16,LV,PIT,Tra Blake,10,201,20,2,0,2,-1,-3,-149,0,0
1006,12/24/2022,16,WAS,SF,Jerome Boger,20,349,51,6,0,1,2,-17,-22,0,0
1007,12/24/2023,16,IND,ATL,Alan Eck,10,262,29,4,0,1,0,-19,-144,0,0
1008,12/24/2023,16,ARI,CHI,John Hussey,16,306,8,2,0,-1,-3,-11,-114,0,0
1009,12/24/2023,16,DAL,MIA,Shawn Hochuli,20,339,38,6,0,1,1,-2,-36,0,0
1010,12/24/2023,16,WAS,NYJ,Clay Martin,28,245,68,8,0,1,-6,-2,-136,0,0
1011,12/24/2023,16,JAX,TB,Brad Allen,12,305,20,2,0,4,-4,-18,-30,0,0
1012,12/25/2022,16,DEN,LAR,Ron Torbert,14,323,55,6,0,4,3,-37,-65,0,0
1013,12/25/2023,16,NYG,PHI,Ron Torbert,25,292,13,3,0,-1,-6,-8,-173,0,0
1014,12/28/2023,17,NYJ,CLE,Alex Kemp,20,360,74,12,0,-1,8,-17,-68,0,0
1015,12/3/2023,13,KC,GB,Brad Allen,19,337,50,5,0,1,-2,-8,-45,0,0
1016,12/3/2023,13,DEN,HOU,Shawn Smith,17,282,8,2,0,3,-6,-5,-71,0,0
1017,12/3/2023,13,CLE,LAR,John Hussey,19,327,86,7,0,1,0,-17,-72,0,0
1018,12/3/2023,13,CAR,TB,Brad Rogers,18,282,62,7,0,0,2,-3,-40,0,0
1019,12/30/2023,17,DET,DAL,Brad Allen,19,420,35,6,0,0,1,-1,36,0,0
1020,12/31/2023,17,MIA,BAL,Clete Blakeman,19,375,37,5,0,2,-2,-37,-116,0,0
1021,12/31/2023,17,NE,BUF,Alex Kemp,21,294,20,2,0,3,-2,-6,13,0,0
1022,12/31/2023,17,ATL,CHI,Adrian Hill,17,307,15,1,0,4,-4,-20,-125,0,0
1023,12/31/2023,17,LAC,DEN,Craig Wrolstad,9,301,48,3,0,1,-4,-7,-12,0,0
1024,12/31/2023,17,TEN,HOU,Scott Novak,3,187,15,3,0,1,2,-23,-125,0,0
1025,12/31/2023,17,LV,IND,Shawn Smith,20,370,54,7,0,0,2,-3,21,0,0
1026,12/31/2023,17,CAR,JAX,Carl Cheffers,0,124,24,3,0,1,2,-26,-193,0,0
1027,12/31/2023,17,CIN,KC,John Hussey,17,263,20,3,0,-1,0,-8,-110,0,0
1028,12/4/2022,13,DEN,BAL,Alex Kemp,9,272,48,4,0,-2,1,-1,-13,0,0
1029,12/4/2022,13,KC,CIN,John Hussey,24,349,35,4,0,1,-2,-3,-82,0,0
1030,12/4/2022,13,IND,DAL,Carl Cheffers,19,309,88,6,0,4,3,-35,-76,0,0
1031,12/4/2022,13,JAX,DET,Jerome Boger,14,266,24,5,0,1,4,-26,-171,0,0
1032,12/4/2022,13,LAC,LV,Craig Wrolstad,20,386,20,4,0,-1,1,-7,-18,0,0
1033,12/4/2022,13,NYJ,MIN,Clete Blakeman,22,486,40,6,0,2,3,-5,199,0,0
1034,12/4/2022,13,TEN,PHI,Adrian Hill,10,209,82,7,0,0,-5,-25,-244,0,0
1035,12/4/2022,13,MIA,SF,Tra Blake,17,308,68,8,0,3,4,-16,-43,0,0
1036,12/5/2022,13,NO,TB,Clay Martin,16,298,84,6,0,-2,2,-1,-52,0,0
1037,12/8/2022,14,LV,LAR,Brad Rogers,16,302,94,7,0,1,0,-1,20,0,0
1038,9/10/2023,1,CAR,ATL,Brad Rogers,10,281,66,9,0,3,3,-14,60,0,0
1039,9/10/2023,1,HOU,BAL,Tra Blake,9,268,88,9,0,-1,-4,-16,3,0,0
1040,9/10/2023,1,CIN,CLE,Clete Blakeman,3,142,20,4,0,-2,-1,-21,-208,0,0
1041,9/10/2023,1,TEN,NO,Ron Torbert,15,285,45,6,0,1,-1,-1,-66,0,0
1042,9/10/2023,1,ARI,WAS,Alan Eck,16,210,122,9,0,-1,1,-4,-38,0,0
1043,9/11/2022,1,SF,CHI,Clay Martin,10,331,99,12,0,1,9,-9,127,0,0
1045,9/11/2022,1,LV,LAC,Shawn Smith,19,320,11,3,0,3,-2,-5,-35,0,0
1046,9/11/2022,1,NE,MIA,John Hussey,7,271,15,3,0,3,-1,-13,-36,0,0
1047,9/11/2022,1,GB,MIN,Bill Vinovich,7,338,10,2,0,2,-1,-16,-57,0,0
1048,9/11/2022,1,JAX,WAS,Tra Blake,22,383,90,13,0,-2,7,-6,-7,0,0
1049,9/11/2023,1,BUF,NYJ,Carl Cheffers,16,314,40,5,0,3,3,-6,25,0,0
1050,9/12/2022,1,DEN,SEA,Clete Blakeman,16,433,106,12,0,1,7,-1,180,0,0
1051,9/14/2023,2,MIN,PHI,Clay Martin,28,374,15,2,0,3,-5,-6,-56,0,0
1052,9/15/2022,2,LAC,KC,John Hussey,24,401,25,3,0,1,-3,-3,82,0,0
1053,9/17/2023,2,GB,ATL,Tra Blake,24,224,40,7,0,-1,1,-1,-222,0,0
1054,9/17/2023,2,LV,BUF,Craig Wrolstad,10,240,30,2,0,3,-2,-28,-210,0,0
1055,9/17/2023,2,NYJ,DAL,Clete Blakeman,10,215,29,5,0,4,-1,-20,-167,0,0
1056,9/17/2023,2,CHI,TB,Bill Vinovich,17,236,28,5,0,2,-2,-10,-201,0,0
1057,9/17/2023,2,LAC,TEN,Alan Eck,24,342,43,4,0,0,-3,-3,1,0,0
1058,9/18/2022,2,CIN,DAL,Brad Allen,17,254,35,7,0,-1,2,-3,-83,0,0
1059,9/18/2022,2,HOU,DEN,Carl Cheffers,9,234,94,8,0,-1,-5,-7,-116,0,0
1060,9/18/2022,2,WAS,DET,Bill Vinovich,27,396,17,2,0,1,1,-9,-29,0,0
1061,9/18/2022,2,CHI,GB,Craig Wrolstad,10,228,50,7,0,0,4,-17,-186,0,0
1062,9/18/2022,2,IND,JAX,Alex Kemp,0,218,30,5,0,3,2,-24,-113,0,0
1063,9/18/2022,2,ATL,LAR,Clay Martin,27,261,29,5,0,0,2,-4,-76,0,0
1064,9/18/2022,2,CAR,NYG,Ron Torbert,16,275,38,5,0,2,-3,-3,10,0,0
1065,9/18/2022,2,SEA,SF,Brad Rogers,7,216,106,10,0,3,9,-20,-157,0,0
1066,9/18/2023,2,CLE,PIT,Ron Torbert,22,408,81,8,0,2,3,-4,153,0,0
1067,9/19/2022,2,TEN,BUF,Shawn Smith,7,187,87,9,0,4,1,-34,-227,0,0
1068,9/19/2022,2,MIN,PHI,Scott Novak,7,264,25,5,0,2,-3,-17,-222,0,0
1069,9/21/2023,3,NYG,SF,Shawn Hochuli,12,150,37,6,0,1,0,-18,-291,0,0
1070,9/22/2022,3,PIT,CLE,Clay Martin,17,308,25,5,0,1,0,-12,-68,0,0
1071,9/24/2023,3,DAL,ARI,Alex Kemp,16,416,107,13,0,1,5,-12,16,0,0
1072,9/24/2023,3,TEN,CLE,Craig Wrolstad,3,94,80,8,0,-1,3,-24,-247,0,0
1073,9/24/2023,3,ATL,DET,Land Clark,6,183,24,4,0,0,-6,-14,-175,0,0
1074,9/24/2023,3,NO,GB,Brad Rogers,17,252,102,7,0,-1,-4,-1,-88,0,0
1075,9/24/2023,3,CHI,KC,Alan Eck,10,203,32,6,0,0,3,-31,-253,0,0
1076,9/24/2023,3,DEN,MIA,Clay Martin,20,363,46,7,0,3,1,-50,-363,0,0
1077,9/24/2023,3,CAR,SEA,Ron Torbert,27,378,82,13,0,-1,5,-10,-47,0,0
1078,9/25/2022,3,NO,CAR,Carl Cheffers,14,426,58,7,0,3,3,-8,133,0,0
1079,9/25/2022,3,HOU,CHI,Clete Blakeman,20,329,25,3,0,0,-3,-3,-34,0,0
1080,9/25/2022,3,SF,DEN,Shawn Hochuli,10,267,40,7,0,3,2,-1,6,0,0
1081,9/25/2022,3,KC,IND,Shawn Smith,17,315,45,6,0,1,2,-3,56,0,0
1082,9/25/2022,3,BUF,MIA,Alex Kemp,19,497,52,7,0,1,3,-2,285,0,0
1083,9/25/2022,3,DET,MIN,John Hussey,24,416,59,7,0,0,4,-4,43,0,0
1084,9/25/2022,3,LV,TEN,Brad Rogers,22,396,44,6,0,0,-1,-2,35,0,0
1085,9/25/2023,3,LAR,CIN,John Hussey,16,292,28,4,0,1,-3,-3,-17,0,0
1086,9/29/2022,4,MIA,CIN,Tra Blake,15,378,41,6,0,2,0,-12,7,0,0
